constructorId,constructorRef,name,nationality,url,colorPrimary,colorSecondary
88,"eagle","Eagle","American","http://en.wikipedia.org/wiki/Anglo_American_Racers",#002147,#FFD100
89,"lds","LDS","South African","http://en.wikipedia.org/wiki/LDS_(automobile)",#FFD100,#000000
90,"protos","Protos","British","http://en.wikipedia.org/wiki/Protos_(constructor)",#002147,#FFFFFF
91,"shannon","Shannon","British","http://en.wikipedia.org/wiki/Shannon_(Formula_One)",#006341,#FFFFFF
92,"scirocco","Scirocco","British","http://en.wikipedia.org/wiki/Scirocco-Powell",#002147,#FFD100
93,"re","RE","Rhodesian","http://en.wikipedia.org/wiki/RE_%28automobile%29",#FFD100,#006341
94,"brp","BRP","British","http://en.wikipedia.org/wiki/British_Racing_Partnership",#004225,#FFFFFF
95,"porsche","Porsche","German","http://en.wikipedia.org/wiki/Porsche_in_Formula_One",#FFFFFF,#000000
96,"derrington","Derrington","British","http://en.wikipedia.org/wiki/Derrington-Francis",#002147,#FFFFFF
97,"gilby","Gilby","British","http://en.wikipedia.org/wiki/Gilby",#002147,#FF0000
98,"stebro","Stebro","Canadian","http://en.wikipedia.org/wiki/Stebro",#FF0000,#FFFFFF
99,"emeryson","Emeryson","British","http://en.wikipedia.org/wiki/Emeryson",#000000,#FFFFFF
100,"enb","ENB","Belgian","http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge",#FFD100,#000000
101,"jbw","JBW","British","http://en.wikipedia.org/wiki/JBW",#002147,#FFFFFF
102,"ferguson","Ferguson","British","http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.",#002147,#FFD100
103,"mbm","MBM","Swiss","http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors",#FF0000,#FFFFFF
104,"behra-porsche","Behra-Porsche","Italian","http://en.wikipedia.org/wiki/Behra-Porsche",#FFFFFF,#FF0000
105,"maserati","Maserati","Italian","http://en.wikipedia.org/wiki/Maserati",#002147,#FF0000
106,"scarab","Scarab","American","http://en.wikipedia.org/wiki/Scarab_(constructor)",#002147,#FFFFFF
107,"watson","Watson","American","http://en.wikipedia.org/wiki/A.J._Watson",#FFD100,#000000
108,"epperly","Epperly","American","http://en.wikipedia.org/wiki/Epperly",#002147,#FFFFFF
109,"phillips","Phillips","American","http://en.wikipedia.org/wiki/Phillips_(constructor)",#FF0000,#FFFFFF
110,"lesovsky","Lesovsky","American","http://en.wikipedia.org/wiki/Lesovsky",#002147,#FFFFFF
111,"trevis","Trevis","American","http://en.wikipedia.org/wiki/Trevis",#FF0000,#FFFFFF
112,"meskowski","Meskowski","American","http://en.wikipedia.org/wiki/Meskowski",#FFD100,#000000
113,"kurtis_kraft","Kurtis Kraft","American","http://en.wikipedia.org/wiki/Kurtis_Kraft",#002147,#FFFFFF
114,"kuzma","Kuzma","American","http://en.wikipedia.org/wiki/Kuzma_(constructor)",#FF0000,#FFFFFF
115,"vhristensen","Christensen","American","http://en.wikipedia.org/wiki/Christensen_(constructor)",#002147,#FFD100
116,"ewing","Ewing","American","http://en.wikipedia.org/wiki/Ewing_(constructor)",#FF0000,#FFFFFF
117,"aston_martin","Aston Martin","British","http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One",#00665E,#CEDC00
118,"vanwall","Vanwall","British","http://en.wikipedia.org/wiki/Vanwall",#006341,#FFD100
119,"moore","Moore","American","http://en.wikipedia.org/wiki/Moore_(constructor)",#002147,#FFD100
120,"dunn","Dunn","American","http://en.wikipedia.org/wiki/Dunn_Engineering",#FF0000,#FFFFFF
121,"elder","Elder","American","http://en.wikipedia.org/wiki/Elder_(constructor)",#FFD100,#000000
